,Description,magnitude,score
910,"My neighbour rescued her when she was about 5 weeks old from a drain outside a school compound.Red ants were crawling all over her body.My neighbour took care of her inside her house compound.Recently due to financial problems, Poppy's owner had to vacate the house and moved to a small apartment which is pet-unfriendly but rental is within her budget.Her intention was to release Poppy to live life as a stray.A very smart and alert dog, she will make a very good guarddog.I offered to find Poppy a home instead of abandoning her to the streets.Now boarded at the vet's clinic, she's just spayed and ready to be adopted.",2.9,0.0
911,"My cat gave birth to 7 kittens, and its getting too crowded in the house.The father of the kits is my neighbours persian cat (cream coloured).We couldnt keep them because currently there are already 4 cats in the house and they are very territorial (not good for the kittens).We have to quarantine the kittens and mother cat in the kitchen area all day long.Here are the kittens :- No. 1 : cream female No. 2 : Black and brown female No. 3 : orange-specked grey male No. 4 : black/grey striped female No. 5 : white/striped/black mix female No. 6 : spotted/striped (like bengal) male WE want to give them away before February, please come and collect them any time.Because there are too many kittens, the mother cat couldn't handle taking care of all of them.The mother cat is very thin and skeletal due to having to nurse all 7 kittens.So, the kittens have some minor rashes (but we are currently treating it and it's getting better day by day).====================================================== THANK YOU everyone for viewing this profile!All the kittens have gone away to good homes as of today :)thanks again to the PF community and good luck to everyone else looking for that perfect companion.",5.1,0.2
912,"This boy was seen wandering around the housing area.Initially, we thought he was a lost puppy but after almost a week, there was no sign of his owner and we decided to rescue him from the street.He is a cute and playful boy full with energy.He is suitable for family with children 10+.This boy is quite the looker with his nice body shape and shining coat.A little patience and a lot of love and this boy will be an excellent addition to any family.",3.3,0.4
913,"Jeanie was initially rescued by a university student but because she was having difficulty training her Rottie to accept lil Jenny...she had to put Jenny up for adoption.Jenny is a very curious lil girl and she loves to play with her twin sister Jinny.Every human being belongs to a family... and so does furry kids.Jenny will not survive on the street and what more she is just a baby.I hope I will be able to find Jenny a home where she will be love and accepted as part of the family.If you feel that you can give Jenny and Jinny a home, please ..drop me a whats at.If you prefer to speak on the phone, you can still give me a call to discuss about J&amp;J.' Adoption is for life..is not just for Christmas'.",3.0,0.3
914,"Founded at my office, very health &amp; active.Looking for owner!Kitten have grey eyes",0.6,0.2
915,"Fido is a great companion and wonderful pet.He is house-broken and well-trained dog.He can stay in apartments, or houses.He is a very loving dog, and is great with other dogs.He is also very friendly with people, and great with children.Fido is a fabulous, well-mannered dog, and great for families.He loves going for his walks, and playing.",5.3,0.7
916,URGENT!!!This cat came to my car porch and gave birth to a few kittens.The amount of kittens is still unknown as they're hidden behind the mother cat.I need someone to adopt/foster the cat and it's kittens IMMEDIATELY as I have 4 dogs at home and they are no good with cats.They almost attack the cat this morning and one of my dog got injured (the cat act out of defensive).Please contact me ASAP.My parents dun really like cats and wanted to shoo them out. =(,1.5,-0.1
917,Mr.Ben is only 1month plus and he is up for pre-adoption.Will only be able to go back to his forever home after EARLY NOVEMBER as they are still depending on their mother's milk.Very active and loves to play arnd.. born on the 25th August Location: bandar sri damansara Tel: (Ms Daffy),1.5,0.0
918,"A Malay family found this little puppy who was left to die.The owner, a farmer had taken all the other newborn puppies away from the mother and somehow this little one fell out of the sack and landed in a gutter.The Malay family has taken her/him in and decided care of it, bottlefeeding it every 4 hours.However, they are unable to care for it in the future due to their circumstances but they are hoping that a good family will adopt this little one.She/he has no fleas.We have sprayed frontline.She has a good appetite and feisty despite her tiny size.For now, we are bottle feeding her but within a month, we believe she can already eat solids.Should somebody agrees to care for her, we shall bear the cost for her deworming, vaccination and spaying/neutering.",2.0,0.0
919,"last week one kitty was dumped in front of a house in seberang jaya, prai.the rescuer is unable to keep her as she already has too many cats to care for.she is very cute with warm personality.i hope someone will take her.anyone who is interested can email me ()or sms me at this number (Shahrizha) Spaying fees will be provided for the kitten",1.8,0.1
920,"The cat is 1 year old.Vaccinated, dewormed and nuetered.He was found outside my house as a strayed kitten and we kept him for a year while waiting for adoption.Could not continue to foster him as family member is allergic to his fur.He is strictly indoor cat thus we are looking for someone who is serious and who is a cat lover.",1.4,0.0
921,"Salam and Shari are two siblings that I am feeding and they need a home.Gentle when they get to know you and given the opportunity I am sure they will make good kitty companions.Please consider adopting them and give them a chance to have a loving home.If you can adopt them, please contact.Can be adopted separately.",1.8,0.3
922,cute,0.6,0.6
923,If interested pls whatsapp me lyra,0.1,0.1
924,"Absolutely good guard dog.Very smart..and naughty For more info, please contact Yvonne @ (Prefer Chinese)",1.2,0.6
925,"Chevy is my 1st Female cat in Malaysia..She is more like Chino's fans, because she's been with Chino since she's about 2 months..Now everything Chino do, she also have to do that..",0.2,0.0
926,"Shine, Female, 2months old, Vaccinated &amp; De-wormed.Looking for a loving home.Pls call / whatsapp : - furrytale pixels",1.1,0.3
927,Little Joey was found wondering at my Condominium.He is still a kitten and crying for help.Please give Little Joey a furever home.Adopter who is willing to neuter him in future is preferred.,0.9,0.2
928,"I picked the white kitten in the drain during CNY...was meowing away &amp; his mom wasn't in sight..he was full of ticks, he was too small for a bath then...fed him for 2 weeks b4 giving him a few baths to rid of the ticks....now he is a hungry kitty &amp; has put on weight...too bad I cant keep him as my dogs &amp; cat cant agree with kitty.He purrs really loud when hugged....hope someone can get him out of the street &amp; give them a home..presently he lives at my backlane in an unoccupied house.He is still tiny so is able to squeeze through the back door grill.Hope someone can give him a warm home soon as he will not be able to fit through the door once grown.He comes to my back door meowing 2x a day &amp; I let him in for feeding before letting him out again.",1.8,-0.3
929,This baby here is rescued from a drain in late March .He is very playful and will be a good companion to you :),1.0,0.4
930,Puppies found under an abandoned car at Kajang housing area.Need a dog lover to adopt them.They deserve best and much love.,1.7,0.2
931,"Hi , I was in this home for a month but unfortunately the management not allow me to keep staying in the apartment..I am very quite uncle , I like to stay calm and relax to enjoy life , but I still enjoy light walk everyday to see the beautiful world and enjoy the wind.. please give my &quot;bose&quot; a call for bring me home...trust me (as a wisdom dog) , I come with happinesses and fun..",1.7,0.0
932,Pikachu tails,0.1,0.1
933,"I found this poor kitten in the rain, in my garden, meowing loudly as the mother abandoned it.I'm looking for a loving owner to take care of this kitten :)please this kitten needs a proper home!",2.0,0.0
934,Found lost this morning.He enter the Malay wet market and was being splash water intended to chase him away.Will keep him for just 1 day.Any interested adopter kindly please take him in.He will not survive in this area.,0.8,0.0
935,"There are 5 pups born 25 Nov which are left to fend for themselves together with their mother.A kind lady living near where they shelter feeds them twice daily.There are chemical drums as well as other stray dogs around that they can fall victim to.The sibling of the mother was the bitch that was shot dead when her litter was 3 days old.The 1st pic are all 5 pups feeding, The 2nd pic is the mother.The photos thereafter are the front view followed by the side view of each pup.All the pups are male with the exception of the black which is a bitch.If there are any queries, please contact me Pat on.However for adoption purposes, it would be best for the adopters to contact Hwa directly on.She speaks Hokkein and Cantonese.She will refer them to me in the event that the potential adopters speaks English only.",3.0,0.0
936,"Term and Conditions : 1) Compulsory spay after 6 months 2) Allowed for home visit 3) Update us with pictures or whatapps by send photos 4) Provide clean and run free environement Must be genuine pet lover, do not abandon them and you are required to return back to us in 1 month.",0.0,0.0
937,"Please contact us to adopt this pet, or visit our PAWS shelter to check out this and other adorable pets!!",0.7,0.7
938,"Liz &amp; Taylor were found in front of my friend's shop.Not sure if they are homeless or abandoned but they're friendly and we're looking to rehome them.Liz is the one with the mole (the tuxedo) and Taylor is the other one.We named them after Elizabeth Taylor :PWill reconfirm their gender but we think they're both females.These kittens can be adopted individually or together.They are currently boarded at my vet's clinic in Puchong and I can deliver them to their new home within Klang Valley.Conditions for adoption: 1.To be indoor-only cats.This is to prevent any unfortunate incidents like being hit by vehicles or attacked by humans or other animals.2.Kittens to be spayed/neutered when they are 5-6 months.Those who are interested to adopt the kittens MUST commit to spaying or neutering them when they reach minimum age because this is the only way to control our stray cat population.There will be a RM deposit required for each kitten, which will be refunded upon proof of spaying/neutering (receipt from the vet).3.Ensure regular vaccinations as per your vet's advise, and medical attention when necessary.First vaccination is a MUST. 4.To be willing to provide regular updates on their progress until they are spayed/neutered.I will follow up with adopters and expect adopters to respond to my follow-ups.I cannot stress enough the importance of neutering and spaying of pets to prevent unwanted litters and ultimately, controlling the stray population.As such, only potential adopters who believe in spaying/neutering their pets OR those who are willing to learn about spaying/neutering will be considered.Serious adopters only.Kindly contact me via email, SMS or whatsapp if you are interested.I will contact you as soon as I can.Thank you!*Adopt, never buy.Save a life today*",5.6,0.1
939,"Hi!We are 5 brothers and sisters.We are about 5 weeks old.After an amazing couple started feeding our mom and dad, they found us, the fabulous five!Our parents house burnt down and they left our mom and dad behind and a few weeks later we were born!We are looking for a loving forever home!If you are looking for a great Christmas present, look no further!We are the most adorable puppies.These puppies will all need their 3 puppy booster vacinations and deworm very soon.They currently live in the elements and need a loving HOME quickly!If you can foster them until they are vetted and forever homes are found via Petfinder and adoption drives, please contact me.Handphone:- This past Wednesday as we went out to feed the parrent adult dogs, they were so happy to see us as usually with big waiving tails.I heard all the puppies down some stairs which heads to a waterway.One of the puppies had fallen down toward the waterway and couldn't get back up.So we went to go fetch him.With the help of my friend, I slid down the muddy side and got the cute little puppy and handy him up to safe ground and my friend then helped pull me up.Momma and puppy were very happy.Over the next few days, we started bringing food for the puppies.The puppies devour the food and Momma dogs seems to be happy we are there now to feed her puppies.Please help find a loving home for these puppies!",10.1,0.3
940,"6, 1-month old kittens.Were born around our housing area.We provided shelter to the mother during birth.If we let them go they will either die of starvation or being run over by passing cars.Would prefer if all 6 are taken at one go or in pairs.",0.8,0.1
941,I am currently fostering snowball after her mom delivered her at my doorstep.I need someone to look after her ASAP because I am going away in a week and ill have to abandon her if no one takes her.,1.5,0.0
942,"no name is a domesticated cat with a mixed with bengal and tabby who is happy both indoors and outdoors.She is loving, cuddly and playful.i really like her as she has a unique fur but unfortunately my other cats doesnt like her.She loves company and is great with children.We are looking for a loving home to adopt her asap.Only genuine adopters please enquire.",3.9,0.5
943,"Ginger is a very 'manja'&amp; playful cat.She has a beautiful patch of black &amp; gold/brown colouring all over her back and the rest of her is snowy white.She has a sweet &amp; cute face and basically bring me &amp; my daughter a lot of joy.She was a stray kitten when we took her home 4 years ago.She stays mainly in the house and loves catching lizards and whatever insects she can find!Sadly, we have put her up for adoption urgently as we are migrating next month.I sincerely hope someone out there can provide a loving home for Ginger and contact me asap.Thankyou.",4.1,0.4
944,golden mix pupies for adoption contact ms eve for more information but onlyfor talking madrine or cantonese call sms wechat whatapp,0.2,0.2
945,"Sinyu hobbies are 1) play as much as he can :)2) eat as much as he can :pSinyu is an indoor cat, toilet trained, very playful and active.Since Sinyu is an indoor cat, he didn't exposed to outdoor danger (cars / naughty human) thus, those who wants to adopt him must not let him venture outdoor without supervision.He eats IAMS, boiled chicken and fish.I really want to find an adopter who really2 loves cat and can take care of him when he is sick and will never abandoned him for any reason.He's mother was a stray cat and I took care of her family.I have 20 cats and would love to let go of him and his other siblings so that they can get more attention cares from other cat lovers.Plus my work now requires me to travel a lot.Please contact me if u interested to adopt ya :D",5.3,0.3
946,She has a unique look and sweet girl Spayed and vaccinated Jackie Lee,0.7,0.7
947,"Yaya is a very a energetic, loving and friendly dog.She is looking for a new home with plenty of room to run and a new guardian that can play with her a lot.She gets along well with dogs.",1.8,0.6
948,Lovable,0.9,0.9
949,"Posting on behalf of fosterer.Sweet little Cali is 3 months plus CALICO, playful, gentle and loving.Cali is deflea, deworm and vaccinated x1.In good health.If you can give Cali a good home and be a responsible owner, please contact Potential owner must spay Cali when she is older.Thank you!",1.9,0.3
950,Nono is a female cat and also playful.I'm giving her away and please contact me if you want her.thank you.,0.8,-0.1
951,"hello everyone, I'm looking for a new family that can take a very good care of me.. i am very playful and love to run around...I promise i will behave as much as i can...",1.2,0.6
952,â˜» A healthy home cat with unique tail â˜» Litter box trained,0.9,0.9
953,I found this cute kitten shivering on a rainy day outside my apartment gate.He didn't look too well when i found him but is perfectly healthy now!I already groomed &amp; treated him with flea treatment. he is also litter trained. he doesn't go around making a big mess around the house so that's a 5 thumbs up!!(eventho i only have 2 =P) he is very playful.doesn't bother u that much as he plays around by himself.He has a very cute long fluffy fur &amp; is so adorable.anyone interested in adopting him can call or sms me.,4.0,0.4
954,"Kingston was rescued from the pound recently.His owner could not afford his grooming fees and food supply hence placed him in the pound to be euthanized.We bailed him and is now searching for a forever home for him.If you are a Cocker Spaniel lover and wish to give him a home, please drop me a whatsapp at.We prefer the adopter to be from Kuala Lumpur or Selangor area.No further than that.",1.7,0.1
955,American short hair breed.She's a very manja cat and she's a attention seeker!She loves climb up high just to let you see her and get your attention.She purrs really loud when she get petted.,1.6,0.4
956,"I found this kitten (/12) sitting alone middle of the road fully covered by mud and in very bad condition.I think he was sitting middle of the road cuz he cant see - both eyes swollen n covered with puss,right eye has some blood also + he was limping.Already took him to the vet and he has been dewormed 2x .Fleas oso clear ready.Doc also gave antibiotic and eyedrop.Alot of improvement in appetite and health since then.The right eye still need to continue with eye drop,other then that no other health issue.Please call to view/give this adorable lil angel a 2nd chance.I can only keep this kitten till 25th of July.Details of the kitten : -Male -3 weeks old now -0.4kg -dwi color - creame with black spot -has been dewormed.-He is fleas-free",2.7,-0.2
957,Young Jerry was found in my condominium and has been vacinated and neutered.He is super friendly.Hope someone can adopt him and give him a home.,1.6,0.5
958,"Monster *Litter-trained *She is a very alert cat with a loving heart.*Often insecure and could show a little aggression around strangers but after getting along, she will be a darling.*She is not disruptive but would be very scared around strangers, hence in defense mode.*She has an attitude of her own with exceptional loyalty to those she love.*Licks and grooms faces and hands of those she loves.*Loves to sleep and cuddle on hair and pillow.*Loves to drink from kitchen tab water.------------------------------------------------- Only suitable for those who truly loves cat with a patient heart.Adoption fee is to screen out uncommitted pet seeker.Fees for adoption are rebate-able with conditions.Condition 1: 1st year evidence of vaccination and deworming (vaccination card) Condition 2: Cat should be well fed and taken care of with proper grooming (photo update for the first year) Upon fulfilling the conditions, RM will be fully rebated.In the event the 2 conditions are not met, RM will not be returned.If either one condition is met but the other is not, no partial rebate.",8.4,0.3
959,Mavis is a very friendly stray cat who was run over by a car and broke her hip.She has made a full recovery and is now seeking a new home.She likes lots of attention from humans and is incredibly affectionate but doesn't get on well with other cats.She's had a difficult start in life and deserves a family who will love her as much as she'll love them.,2.1,0.5
960,Healthy and active...Please call me or whatsapp me if you are interested...,0.8,0.4
961,"cute, sweet and playful",0.9,0.9
962,AsyrafNor (call),0.1,0.1
963,"Kittles is a loving kitty that meows and ask for food and love every morning whenever I get to work and come home.She's not afraid of our golden retriever they actually get along.Unfortunately, my wife is allergic to cats and I am seeking a kind soul that would adopt Kittles.She's a smart, loving and friendly kitty.",2.5,0.4
964,Found this cutie wandering around the street.My neighbour rescued and spayed her.Not sure of her age.Currently at the vet's place and will be vaccinated.,1.1,0.2
965,"Hello lovely people, we rescued this puppy about a 2 weeks ago in Taman Wawasan, Puchong.On the way out from the housing area, noticed that the guards (gated community) was playing with a small puppy, but upon getting closer, i realised that they were actually abusing and chasing this puppy away who just wanted to play with them.After it was chased by the guards, the puppy ran towards the road, where it nearly got run down and somehow backpedalled and ran into a large drain where i eventually rescued it from.As the puppy had a collar and was friendly and clean, my family and i put up Posters the area but no one has called for her yet.Behvaiour wise, She's extremely vocal, grumbles at you in the morning and when you come back from work...and is jsut a bundle of joy.As she is just a few months old, she is very mischevious and playful, and in need of a very happy nurturing home.If you do know of anyone who wants a puppy, please contact me.",4.4,0.1
966,"~Update: 27 Nov ~ Fred and Ginger have been neutered and spayed, and are now recuperating from their respective surgeries.Next up is getting them vaccinated and corresponding quarantine period to ensure they're not harbouring any hidden illnesses.They're so far active and healthy, with good appetites.My vet says they are in too good condition to be strays, hence a stronger suspicion that they may have been abandoned.I'm still trying to find them a home where they can be together because they are so attached to each other (we suspect they're siblings), although I am not closed to the idea of getting them adopted separately if really need be.Please do consider adopting them together and give them a second chance at having a family.Adoption conditions: 1.Love them and respect them as you would treat any other person (treat them like how you would like to be treated), provide them access to clean water, healthy food, medical treatments and most of all, give them love and attention.2.A meet-up between potential adopter and the dogs would be recommended so both can meet each other and see if there's chemistry.3.Allow occasional visitations so I may see how the adopter and dogs are doing.This will only be once in a while as I respect your privacy.An adoption fee would apply to cover some of their medical expenses.~Original Post~ I very recently spotted Fred and Ginger near my parents' place.They were not there before, so they must have only just been dumped.Why I suspect that they're dumped pets?They display the following characteristics: 1.They have been in the same spot, out in the open, looking like they're waiting for their owner to return for them.Based on my observation of typical strays, they don't like to be out in the open and prefer to hide, coming out only when they need to look for food.2.They are friendly; they came right up to me when I got down from my car.Again, looking like they were expecting their owner to come pick them up and take them home.They let me pet them and did not shy away from me at all.Typical strays would just run away when I even step out of my car and will only touch the food after I have driven off.The area where they are at is not safe for them because the people there may call the local council to catch them anytime because they are not stray-friendly at all.And given that Fred and Ginger stay out in the open, they make their presence known because people can see them whenever they pass by.I don't know how old they are, I am just guesstimating that they're around 1-2 years old.Please note that they are NOT purebred German Shepherds but they look like they have some mix of GS in them.They are medium sized, with somewhat short legs (reminds me of basset hounds).Put these features together and you get awesomely cute mixed breeds!I am willing to get them neutered, spayed and vaccinated before they go to their new homes.That is what the adoption fee will go towards.Please find it in your heart to give them a second chance at a home.They've already been dumped once (I suspect); please give them a second chance.If possible, do adopt them together because they are such a lovely couple!(see photo) They don't have much time; I would like to get them off the streets as soon as possible before the people call the local council on them.But I can't do it without securing a home for them first because I cannot afford long-term boarding for them.Please contact me at if you're interested.Genuine adopters only.Thank you.Adopt, don't shop.",14.5,0.0
967,Urgent ADOPTION !!,0.0,0.0
968,This lovely cocker's spaniel was left for boarding at the vet form Chinese new year till now and the owners had recently decided not to take him back.Anyone interested feel free to call the clinic at or you can contact me as well.,0.5,0.2
969,"Scared at times, hates to cuddle.Hates human contact, but will stop at nothing to get food.Loves to play with cats, very wild.",1.9,0.0
970,"We have rescued the dog after it was hit and was unable to walk.She have since been nurtured to full health and able to walk and run without aid.As we already have 2 other dogs in the house, it's difficult for us to take care of another one.She is an obedient dog, listens to instructions and needed lots of loves.Please call me to arrange for adoption.",2.2,0.1
971,"Tom is a playful dog.However he is quite agressive with other male dog but easy going with female dog.Love his morning and evening walk.Train o poo and pee on grass.Since he's a lab mix, his voice is quite loud.Very friendly with human companion.Have to give away due to MPPJ warning( Must find him a home in a week time).Please allow us to visit him in future.Thanks",4.0,0.3
972,Young and playful puppy.She is dewormed but vaccination will have to wait because she's barely a month old.,0.6,0.1
973,"Boy is a friendly fella with a moderate energy level who loves to go for walks/run around, receive attention from people and play!He has a typical German Shepherd personality and would likely be a good match for someone who appreciates this breed.He could live with another dog too!",1.4,0.4
974,Stella (formerly known as Martha) is one of two kittens found on the UNMC campus recently and looked after by students.,0.0,0.0
975,"Found the poor puppy roaming in a restaurant a week ago.Was kicked and chased by restaurant owner and patrons.Have been fostering her since then and am looking for a kind-hearted family to adopt her.She is a sweetie and adorable.With both eyes patches that is so cute and looks like panda.Please help the Bingo to look for a family.A shelter where she can live happily with the warmth, love and care of her master.A MILLION THANKS TO YOU!!",4.8,0.2
976,Abandoned by mother.Playful and litter trained.,1.2,-0.6
977,I am quite a sweet girl who only needs to be loved and cared for.Are you that right person for me?Can I come home with you?,0.9,0.3
978,"**urgent for adoption** This baby was found under my company car few days ago,now still in my company.Hope can find a new home for him asap.",0.4,0.4
979,Mira was found wondering around by the roadside alone as a 2 months old stray puppy.She has been spayed n fully vaccinated.Hope to find a forever home for her where she will be loved.,1.1,0.3
980,"She came to my house every now and then and I'd feed her.She was either pregnant or nursing each time I stumbled across her.Now she has been spayed.Though being a stray, she is exceptionally affectionate.Once I squatted down to feed her, she lean her head in my bosom and looked up.She even headbutted in my bosom.She likes to lean her body against mine to cuddle up every chance she gets.She is very eager to enter my premise.A few occasions she sneaked in in fact.She is one stray desperate looking for adoption all by herself.I seek a suitable and loving home for such exceptionally affectionate feline fellow.Please call me.Penang Island.",4.0,0.2
981,"She was rescued within a colony that lives nearby the main road in Lebuh Ampang that needs medical tretment.We are not able to release her to the colony for her safety.She is now healthy but pregnant.PLEASE ANYONE, KINDLY ADOPT THIS LOVELY CAT",1.5,0.1
982,"Mika and Milo are 2 of 3 kittens rescued by a young man from a drain.I responded to the call for assistance and took them to the vet for a checkup and treatment.When they were first brought in to the vet, they were down with flu.Their other litter mate had such severe flu that it destroyed her eyes so she's now blind.Fortunately, I managed to find someone to adopt her and she will be headed to Penang to her forever home.Mika and Milo now need homes as well.They've recovered from their flu and are active and eating well.We're not sure of Milo's (gray/white) gender yet because they're barely a month old but Mika (the black/yellow one) is definitely female based on her color.They have been deflea-ed and dewormed but are not old enough to be vaccinated yet (vaccination at 2 months) Mika and Milo can be adopted individually or together.They are currently boarded at my vet's clinic in Ara Damansara and I can deliver them to their new home within Klang Valley.Conditions for adoption: 1.To be indoor-only cats.This is to prevent any unfortunate incidents like being hit by vehicles or attacked by humans or other animals.2.Kittens to be spayed/neutered when they are of age(female 5-6 months; male 10 months).Those who are interested to adopt the kittens MUST commit to spaying or neutering them when they reach minimum age because this is the only way to control our stray cat population.There will be a RM deposit required for each kitten, which will be refunded upon proof of spaying/neutering. 3.Ensure regular vaccinations as per your vet's advise, and medical attention when necessary.4.To be willing to provide regular updates on their progress during the first 3 months or until they are spayed/neutered.I cannot stress enough the importance of neutering and spaying of pets to prevent unwanted litters and ultimately, controlling the stray population.As such, only potential adopters who believe in spaying/neutering their pets OR those who are willing to learn about spaying/neutering will be considered.Serious adopters only.Kindly contact me via email, SMS or whatsapp if you are interested.I will contact you as soon as I can.Thank you!*Adopt, never buy.Save a life today*",6.0,0.0
983,"The cat is actually born from stray mama cat (rescued duirng PetKnode case last year) Quite playful but a little bit naughty Need new adopter coz have too many cats now, and limited financial to maintaining them Any donation/fee will be used to snip program for other cats that under my care",0.6,0.6
984,"Queen is gentle, slightly shy, good with other dogs and loves her walks.She currently lives with Furry and they can be adopted separately or together.Adoption by donation.",1.1,0.3
985,"Benji, male approximately 5 months old is a very affectionate, playful and vocal kitty.He is currently being fostered in a home with other cats.1st vaccination done.Potential owner must neuter when Benji is older, must be kept as indoor cat.If you can be a responsible owner and look after Benji well forever, please pm or contact me at.Thank You!",2.0,0.3
986,This is a 2 months old female puppy.We rescued her from a drainage system.She is very healthy and active.We brought her to SPCA Clinic for check up and deworming.Hopefully she will get a loving and caring owner.,1.8,0.3
987,"I hope to rehome Kiwi to a better environment than what I can provide to her.She is a very timid cat, she gets along well with anyone (not with dog).She has an adventurous heart and likes to out walking.She is not as trouble when she is in heat.Easy to take care.Also, she likes to watch bird videos on youtube.",3.0,0.3
988,"Moss : Male,White color, Long tail,7 months, Loving and a happy cat.Love to play.DSH.Was survived from the roadside at age 1 month.Dewormed, Vaccinated,Neutered.Tot: Female,black color, Long Tail,6 months, Very active, shy and caring.DSH.Was found at neighbourhood area alone.Dewormed and Vaccinated.This feline need a new home and owner to take care of them.",3.3,0.3
989,"Hi!My name is Elmo.I'm looking a new home as my owner quite busy to take care of me lately.Furthermore, I can't get along with my two other adopted sisters whom lately like to play rough with me.I'm always got bitten everytime they wannna play with me.I'm toilet trained, friendly &amp; very playful and need a full attention.I promise you won't regret adopting me.For those who interested to adopt me please bring along 1kg of Iams Kitten or 1kg of Blackwood Kitten for me to give it out to my sisters as a last gift from me.I'm waiting...",3.8,0.1
990,"‎3 1/2 year old handsome, healthy dog up for adoption.Short brown coat,, brown eyes.Responds to the name of &quot;Max&quot;.Immunized &amp; vaccianted but still in need of a loving home.House trained, very obedient and loving.Calm and quiet, pretty much a people person.I am in a desperate situation and I am really hoping that you could help me out here as I really do not want to put him down.Thanks you Regards Julie",4.3,0.4
991,"Forest came to me from..well...a sort of urban forest!From the first moment I saw him, I knew he is to be called Forest.He had a sad story...from what was heard in the neighbourhood, Forest was either abandoned when owners shifted, or chased away when owners bought a new car.Either way, the previous owners must have been real losers and may God have mercy on them.I've grown so fond of Forest in the past few weeks that I've cared for him.He is now vaccinated and dewormed.Sadly, he still lives outside as a stray as my parents would not allow another dog in the house.Forest lives outside my gate in a flimsy &quot;house&quot; of umbrellas.He gets wet each time it rains and my heart prays and cries for him each time.I am in the midst of looking for a place of my own but it will take another 3-6 months.I am hoping to find a temporary fosterer so Forest can have a proper Home first and I can arrange for him to be neutered then.I cannot imagine if DBKL were to come.I NeeD to get him off the streets - fast!Therr are SO many other strays I wish to help.Let Forest be one of them!Please call me if you can temporarily foster Forest for me.Will be eternally grateful.My name is Siew Leng and I am available at.Thank you &amp; God bless you.",7.3,0.1
992,"olaf is a cute little fellow.Out of the 4 siblings, he is one that good in manja-ing ppl.always look at you with his innocents eyes.How can you resist fRom loving him?So, lovely and kind adopter out there, pls contact me if you fell for olaf.",2.9,0.5
993,Very friendly towards human and super protective to those who feeds her.. loves to play and &quot;manja&quot; ... she is a stray which we temporary shelter her went she was about to give birth to a healthy 3 lil pups.Location: Bandari Sri Damansara...Tel: Ms.Daffy,1.0,0.3
994,"Tiny is one of the tree cats that we rescued from our apartment downstairs.Being abandoned, few days old when we got them.She's playful,sweet and lovely.She loves sleeping/sitting down beside me whenever im home.She loves going to my bathroom taking my pony tails to play with, she's also smart if ever she loose it she will go up again take to take it and she know's exactly where to take them sometime's if she could'nt find any pony tails in my bathroom, she would turn to my bag if she sees it open :-)She's kind of chubby cat coz she eats a lot.She's adorable she loves to follow me around the house esp when im in bathroom you will see her waiting outside till im out.She's unique in her own way.Hope we find a loving family for her.",1.3,0.6
995,"Lyonel was born on the top shelf of my kitchen cabinet one rainy Saturday night.His mother is a stray that I have been looking after ever since she got pregnant.He is in urgent need of a new home as my landlord has asked me to get rid of Lyonel and his siblings.He has had his first round of vaccination and deworming, is litter box trained and is capable of eating wet food or moistened kibbles.Lyonel is the largest kitten of the litter but he is the most timid.He can be very shy towards strangers but once he gets used to you, he can be very affectionate.Colour: Cream with brown stripes Eyes: Light blue",2.9,0.2
996,"white, most probably grow up with blue eyes.like her mommy.",0.1,0.0
997,"Meet blue eyed Chula, a 2month old male Siamese cat.Chula is a very active, playful and vocal cat.If you can give Chula a loving good home and be a responsible owner, please contact Sally or Joyce",1.7,0.5
998,Very loving cat .Looking for a loving home.,1.8,0.9
999,"Vivi is currenlty under foster care.She is a stray from a unsafe area for cats.She is spayed and vaccinated.Vivi is a really sweet and gentle cat, thus it would be a shame to release her back into the area she came from.She would make a good housecat.If you can give Vivi a loving home and be a responsible owner, please contact.Thank You!",2.0,0.0
1000,"UP FOR ADOPTION!!This is MILO, a gentle, calm and loving circa 1 month pup.She was rescued from a factory/ construction site.She is flea-free and has been bathed by rescuer.So far, she is eating and playing well.She will be visiting the doctor soon for her 1st check-up and vaccination!She is looking for a forever home - someone who love and care for her and ready to be with her till she is old because that is what she is going to give to you - love, care, joy and most of all, her forever faithfulness and loyalty.If you are interest in adopting MILO - please contact rescuer smile emoticon p/s: rescuer alrdy has 2 dogs, thus, unable to take in more (since rescuer's neighbour is not dog-friendly at all!)",3.1,0.2
1001,"She is an orange and white female I rescued from Bukit Bintang, she ran away from me at first but as soon as i caught up with her she started purring away.She's temporarily at my neighbours house as my house doesn't allow pets but she's made herself right at home there.She's always playing with the resident cats and doesn't mind a tousle now and again.Definitely a cheerful addition to any household.",1.3,0.2
1002,Kitty is obedient and shy He is use to cat sand Adoption fee rm,0.1,0.1
1003,"kitten about 1 ~2 months, suddenly it came to my house around midnight.It was hungry~ Hopefully can find someone who love to take care of this cute little kitten.Contact me if anyone is interested.If not my mom is going to throw it to other places &gt;.&lt;P/S: it looks healthy without tick and fleas.Please help to spread the news, thanks.Add a caption kitten about 1 ~2 months, suddenly it came to my house around midnight.It was hungry~ Hopefully can find someone who love to take care of this cute little kitten.It's gentle, cute and approachable.Contact me if anyone is interested.If not my mom is going to throw it to other places &gt;.&lt;P/S: it looks healthy without tick and fleas.Please help to spread the news, thanks.",5.1,0.0
